1777021724.2497306,0.4207,-0.62,0.71,1.33
1777021724.3409188,0.5119,-0.65,1.24,1.89
1777021724.461925,0.6329,-0.72,1.58,2.30
1777021724.5786402,0.7496,-0.73,1.86,2.60
1777021724.6917608,0.8627,-0.67,1.89,2.56
1777021724.798437,0.9694,-0.59,1.97,2.55
1777021724.9063714,1.0773,-0.58,1.98,2.57
1777021724.9945502,1.1655,-0.60,2.03,2.64
1777021725.1287718,1.2997,-0.66,2.03,2.69
1777021725.216967,1.3879,-0.72,1.95,2.67
1777021725.3590765,1.5300,-0.78,1.85,2.63
1777021725.484753,1.6557,-0.82,1.85,2.67
1777021725.5845208,1.7555,-0.87,1.57,2.45
1777021725.699845,1.8708,-0.83,1.52,2.35
1777021725.8039029,1.9749,-0.83,1.50,2.33
1777021725.9170666,2.0880,-0.92,1.46,2.38
1777021726.029206,2.2002,-0.94,1.41,2.35
1777021726.1352708,2.3062,-0.95,1.34,2.29
1777021726.2487736,2.4197,-0.96,1.22,2.17
1777021726.3578467,2.5288,-0.97,1.06,2.03
1777021726.4626763,2.6336,-0.93,1.03,1.96
1777021726.5623996,2.7334,-0.93,1.04,1.98
1777021726.6725557,2.8435,-0.96,1.09,2.05
1777021726.7813928,2.9524,-0.99,1.22,2.22
1777021726.886528,3.0575,-1.00,1.39,2.39
1777021727.001275,3.1722,-1.01,1.43,2.44
1777021727.1085517,3.2795,-1.01,1.43,2.45
1777021727.2182903,3.3893,-1.00,1.43,2.43
1777021727.328533,3.4995,-0.97,1.42,2.39
1777021727.4360228,3.6070,-0.97,1.42,2.38
1777021727.5601878,3.7312,-1.06,1.44,2.51
1777021727.6672018,3.8382,-1.07,1.44,2.51
1777021727.7728052,3.9438,-0.99,1.44,2.43
1777021727.8798313,4.0508,-1.00,1.43,2.44
1777021727.9859698,4.1569,-1.01,1.39,2.40
1777021728.1181035,4.2891,-1.07,1.38,2.45
1777021728.2197611,4.3907,-0.99,1.44,2.44
1777021728.3191144,4.4901,-0.99,1.49,2.48
1777021728.4303136,4.6013,-0.99,1.52,2.50
1777021728.5422835,4.7132,-0.98,1.52,2.50
1777021728.6521783,4.8231,-0.97,1.38,2.35
1777021728.765516,4.9365,-0.96,1.39,2.34
1777021728.8637645,5.0347,-0.95,1.39,2.34
1777021728.9664826,5.1374,-0.93,1.36,2.29
1777021729.0743394,5.2453,-0.92,1.32,2.24
1777021729.1996062,5.3706,-0.91,1.33,2.24
1777021729.3060105,5.4770,-0.91,1.31,2.22
1777021729.4131825,5.5841,-0.95,1.32,2.27
1777021729.5189097,5.6899,-0.96,1.26,2.22
1777021729.6357725,5.8067,-0.95,1.13,2.08
1777021729.7481887,5.9192,-0.94,1.06,2.00
1777021729.8646505,6.0356,-0.96,1.00,1.97
1777021729.934468,6.1065,-0.96,1.00,1.96
